Наименование товара,Цена,Минимальная цена,Размерная сетка,Ссылка на файл фотографии,,,,,,,,,,,,,,
Контурный герб на спине - вышивка,5990.0,5990.0,,"https://sun9-37.vkuserphoto.ru/s/v1/ig2/qR67IZw6H-gEZvxNAmX7TSYDeR4Y7HX79dTvLmtcCRDphEQh5kv6ddb0Chz6B8QI_lB12oKJ9rH7ALxeEm-hCITB.jpg?quality=96&as=32x48,48x72,72x108,108x162,160x240,240x360,360x540,480x720,540x810,640x960,720x1080,853x1280&from=bu&cs=853x0&attachment=photo-44440184_457362561",,,,,,,,,,,,,,
Доп. принт - градиент,2590.0,1990.0,,,,,,,,,,,,,,,,
Доп. принт,1190.0,890.0,,,,,,,,,,,,,,,,
Доп. шрифт,590.0,590.0,,,,,,,,,,,,,,,,
Подарочная коробка (упаковка),890.0,890.0,,"https://sun4-20.userapi.com/s/v1/ig2/b0UJUqTVx7jytdliQIksAZgIseWEmR7cPgovbsoNiUife_76GaTI49itoB5ntvGBgjfEEb3w5VDLisTItmKuJ7u8.jpg?quality=95&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x540,640x640,720x720,1024x1024&from=bu&cs=1024x0",,,,,,,,,,,,,,
Подарочный сертификат,0.0,0.0,,"https://sun9-25.userapi.com/s/v1/ig2/_sLOf4NupnhLbxb6YT_SG__I8e6YMHxcC9k0iRm2G22nQDfd8gqEAG-DQme3Jzg2i7LmIaECHXLbZoCBuil5V0Da.jpg?quality=95&as=32x26,48x38,72x58,108x86,160x128,240x192,360x288,480x384,540x432,640x512,720x576,1080x864,1280x1024,1440x1152,2560x2048&from=bu&cs=2560x2048",,,,,,,,,,,,,,
Женский кроп топ (в подарок),0.0,0.0,,"https://sun9-71.vkuserphoto.ru/s/v1/ig2/Ar0uJsbFih5F36goEFoqMd9UORnKi0W00WkHSescGTu-rdf7as6yxgocEFrmHkroSMB5pG8qdF3g81bhDUPuoI64.jpg?quality=95&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x720,640x853,720x960,1080x1440,1086x1448&from=bu&cs=1086x0",,,,,,,,,,,,,,
Белая базовая футболка (в подарок),0.0,0.0,,https://sun9-29.userapi.com/impg/wstkfyxWjpjdB2csx41JmWZs1Epa8IR6o_sTYg/lqctM0WdrJI.jpg?size=900x1200&quality=95&sign=b5d18c87f4268221f0acfcfcd01d25c2&type=album,,,,,,,,,,,,,,
Бежевое поло (в подарок),0.0,0.0,,"https://sun9-72.vkuserphoto.ru/s/v1/ig2/dEfNO6tKnAEyimZL0twSi8DgF_SKW3n6WKoAHv1MELHFNseNm9vuupXmLwa5RQeNKs1CAHQlm3QHAI72JjJobOcj.jpg?quality=95&as=32x40,48x60,72x90,108x135,160x200,240x300,360x450,480x600,540x675,640x800,720x900,1080x1350,1122x1402&from=bu&cs=1122x0",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
